longitude,latitude,observed age,observed std,predicted age,method
258.354442702091,600.2717750000004,126.0,9.0,107.4674149661751,AFT
283.49507787910585,581.3213467283999,70.0,5.0,69.08367282036001,AFT
208.76059598569552,501.1678282716,111.0,7.0,77.72923922120471,AFT
281.43276277367363,594.9940499999997,70.0,5.0,71.41956242041935,AFT
271.4403368573301,494.8407304320997,42.0,3.0,42.16687047891884,AFT
295.3779541529676,574.9942499999997,94.0,7.0,97.92394132838272,AFT
296.4336694944256,574.9633858642,111.0,8.0,105.90896638733493,AFT
246.00507892346323,493.9456782716003,110.0,7.0,99.31519301652162,AFT
272.20142944193736,595.4878717283997,49.0,4.0,49.562743367513775,AFT
283.3477665006798,584.0990967283998,75.0,5.0,73.45684903402035,AFT
236.13541985456445,502.34065543209994,120.0,14.0,95.33713622531064,AFT
84.71707939115308,113.20997900000023,41.3,6.8,21.53117163988321,AFT
85.87492366869468,104.64339800000008,46.3,4.5,22.144519452124264,AFT
137.0498730348692,111.03222299999979,33.0,1.8,32.00933094952076,AFT
135.85667473358464,106.51004599999966,35.8,4.4,34.977469631873305,AFT
133.90336492185378,106.93226400000026,36.3,3.2,40.234959593695066,AFT
133.27583100043836,106.48782399999972,42.4,3.1,44.91578203291189,AFT
133.0371913401812,106.14338300000013,46.0,3.2,45.273668077685116,AFT
133.32886203605023,105.55450000000032,46.8,3.2,47.6668041177399,AFT
258.4706160241062,344.90210649999966,40.1,6.3,25.881650257439837,AFT
260.8773411903257,344.9965499999997,39.9,2.7,26.00009952331763,AFT
263.8912717143089,345.90765199999987,42.4,2.1,28.007605298260536,AFT
254.0274990903628,345.0187720000004,43.1,2.4,26.116019208116377,AFT
132.93112926895623,148.00963099999967,82.1,4.0,77.68442640579539,AFT
132.90461375114904,147.76518900000022,94.9,4.5,93.00049112396268,AFT
133.43492410727524,146.22076000000027,94.4,4.5,94.70185081295617,AFT
133.16093042327765,150.3540520000001,45.1,2.6,49.123854052366,AFT
132.90461375114904,149.15406399999975,64.0,3.8,56.638084567046945,AFT
204.65560493501806,190.57587200000032,72.0,3.5,70.00412512389708,AFT
208.28823087448222,188.2647840000002,72.3,5.0,70.93914508036617,AFT
210.53321138208335,188.05367500000028,85.7,5.4,81.19102757917155,AFT
211.37286944594877,187.9647869999997,95.7,6.9,97.73962742944255,AFT
180.2973896574313,452.2951436700003,51.2,5.1,50.57202129534919,AFT
180.2973896574313,452.2951436700003,52.2,7.6,50.57202129534919,AFT
178.76885844095767,448.7705122500001,54.2,3.9,52.184870594700385,AFT
178.76885844095767,448.7705122500001,71.5,6.5,52.184870594700385,AFT
181.2559256261296,447.2434164099998,42.7,2.6,38.03895121429031,AFT
181.92349797943322,450.2359420399997,58.4,3.7,54.013386526961675,AFT
181.92349797943322,450.2359420399997,57.9,3.4,54.013386526961675,AFT
253.45423359539086,326.24551529000007,33.1,2.9,24.48230126314743,AFT
253.89934075429852,326.7708433700001,38.5,1.3,24.03794054785623,AFT
251.9025454933658,323.3137668299998,32.7,2.6,23.746553852121302,AFT
